0:(0,0);(0,0);(0,0);(0,0)
25:(0.000790486,-3.17022e-06),(0.000351732,0.000715565),(-0.000481798,0.00063063),(-0.000757468,-0.000110829).
26:(0.000779921,-4.84593e-06),(0.000359997,0.00071791),(-0.000457417,0.000619912),(-0.000785498,-0.00013285).
27:(0.000853718,7.22793e-05),(0.000329668,0.000694855),(-0.000437868,0.000681715),(-0.000723777,-6.38539e-05).
28:(0.000779842,8.02658e-05),(0.00029924,0.000782477),(-0.000425782,0.000679062),(-0.000769975,-0.000146055).
29:(0.000751702,1.81942e-05),(0.000387042,0.000753035),(-0.000464846,0.000612657),(-0.000819198,-8.19363e-05).
30:(0.00079279,8.0325e-05),(0.000354449,0.000742308),(-0.000424924,0.000615555),(-0.000775337,-0.00010162).
31:(0.000778813,6.26231e-05),(0.000358597,0.00069718),(-0.00042112,0.00063701),(-0.000819,-8.94828e-05).
32:(0,0),(0,0),(0,0),(0,0).
33:(0.000768593,4.51838e-05),(0.000381103,0.000712504),(-0.000494049,0.000617276),(-0.000825687,-0.00014591).
34:(0.000816569,3.11868e-05),(0.000354021,0.000773377),(-0.000470095,0.000647955),(-0.000827126,-0.000114228).
35:(0.000801108,8.07502e-05),(0.000364454,0.000737019),(-0.000449886,0.000608829),(-0.000783956,-8.11323e-05).
36:(0.000757524,3.39341e-05),(0.000306261,0.000765558),(-0.000468128,0.000622912),(-0.000753014,-8.97408e-05).
37:(0.000792804,-5.10036e-06),(0.00032429,0.000689358),(-0.000464375,0.000644724),(-0.000802765,-0.000120274).
38:(0.000767743,3.07595e-05),(0.000372148,0.000681993),(-0.000500004,0.000638105),(-0.000789239,-9.50708e-05).
39:(0.000768618,4.47672e-05),(0.000329579,0.000680671),(-0.000471049,0.000617876),(-0.000819736,-7.50592e-05).
40:(0.000788107,6.81934e-05),(0.000309007,0.000765975),(-0.000478803,0.000643313),(-0.000802793,-0.000164347).
41:(0.000824768,4.17342e-05),(0.000309135,0.000714573),(-0.000496984,0.000652605),(-0.000772542,-8.44767e-05).
42:(0.000799601,2.72071e-05),(0.000324278,0.000718466),(-0.000493356,0.000642132),(-0.000774202,-0.000108203).
43:(0.000779284,1.2008e-05),(0.000290257,0.000706828),(-0.00050145,0.000607663),(-0.00080499,-0.000106733).
44:(0.000782075,3.20345e-05),(0.000309121,0.00074512),(-0.000478065,0.000680748),(-0.000789563,-0.000103157).
45:(0.000769304,3.62414e-05),(0.000375158,0.000721394),(-0.000475918,0.000640128),(-0.000811114,-0.000127349).
46:(0.000781185,4.64027e-05),(0.000325733,0.000730163),(-0.000498343,0.000655335),(-0.00082862,-0.000128664).
47:(0.000782103,3.17242e-05),(0.000319569,0.000695959),(-0.000468173,0.000616261),(-0.000805761,-0.000110949).
48:(0.000763381,4.19058e-05),(0.000384485,0.000713558),(-0.000466715,0.000654543),(-0.000817681,-0.000144494).
49:(0.000834482,8.00296e-05),(0.000341669,0.000681403),(-0.000479547,0.000581053),(-0.00075713,-9.94831e-05).
50:(0.000714458,2.60677e-05),(0.000299464,0.000714157),(-0.000417685,0.000649899),(-0.000812592,-0.000132822).
51:(0.000805543,4.88417e-05),(0.000360433,0.000715285),(-0.000481871,0.000618328),(-0.000717708,-8.58886e-05).
52:(0.000818311,6.18369e-05),(0.000323943,0.000694011),(-0.000479274,0.000634137),(-0.000807012,-0.000167385).
