(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:10:13.690, 	1, 	2, 	28.831, 	26.397, 	1, 	-1.38778e-15, 	3.04, 	(0.232469,0.680883);
18:10:13.710, 	1, 	2, 	26.5741, 	26.1219, 	1, 	-1.38778e-15, 	3.04, 	(0.881938,-0.17851);
18:10:13.731, 	1, 	2, 	28.8605, 	25.7726, 	1, 	-1.38778e-15, 	3.04, 	(0.713423,0.365455);
18:10:13.751, 	1, 	2, 	20.7906, 	23.5857, 	1, 	-1.38778e-15, 	3.04, 	(-0.700716,-0.0477198);
18:10:13.771, 	0, 	2, 	29.4493, 	18.0214, 	1, 	-1.38778e-15, 	3.04, 	(-0.147723,0.281078);
18:10:13.791, 	1, 	2, 	28.4267, 	25.115, 	1, 	4, 	2.736, 	(-0.442139,-0.245315);
18:10:13.805, 	1, 	1, 	29.5669, 	22.4748, 	0, 	4, 	2.432, 	(1.17287,1.39458);(0.745174,-0.715279);(-1.88053,0.101251);(0.037514,0.780551);
18:10:13.831, 	1, 	2, 	28.794, 	24.8021, 	1, 	4, 	2.432, 	(-0.509319,-0.24175);
18:10:13.852, 	1, 	2, 	22.1634, 	23.7599, 	1, 	4, 	2.432, 	(-0.601287,0.0795431);
18:10:13.872, 	1, 	2, 	28.2883, 	24.2247, 	1, 	4, 	2.432, 	(-0.445601,-0.230938);
18:10:13.891, 	1, 	2, 	27.561, 	24.8368, 	1, 	4, 	2.432, 	(-0.543776,-0.394443);
18:10:13.912, 	1, 	2, 	19.8207, 	23.3026, 	1, 	4, 	2.432, 	(0.377769,0.667763);
18:10:13.932, 	1, 	2, 	28.7916, 	25.1946, 	1, 	4, 	2.432, 	(-0.372151,-0.302426);
18:10:13.952, 	1, 	2, 	28.6281, 	24.8984, 	1, 	4, 	2.432, 	(-0.201925,-0.366753);
18:10:13.972, 	1, 	2, 	27.0703, 	23.4849, 	1, 	4, 	2.736, 	(-0.37534,0.219275);
18:10:13.992, 	1, 	2, 	30.4376, 	26.5893, 	1, 	4, 	2.736, 	(-0.692409,-0.317078);
18:10:14.013, 	1, 	2, 	29.2421, 	25.5179, 	1, 	4, 	3.04, 	(0.640125,0.417094);
18:10:14.033, 	1, 	2, 	29.7636, 	26.7721, 	1, 	4, 	3.04, 	(-0.414605,0.558091);
18:10:14.053, 	1, 	2, 	27.8671, 	25.8581, 	1, 	4, 	3.04, 	(0.612339,-0.210744);
18:10:14.074, 	1, 	2, 	29.9772, 	26.2776, 	1, 	4, 	3.04, 	(-0.541417,-0.729931);
18:10:14.093, 	1, 	2, 	20.9506, 	23.9705, 	1, 	4, 	3.04, 	(0.908497,0.0653649);
18:10:14.114, 	1, 	2, 	23.6547, 	25.2085, 	1, 	4, 	3.04, 	(0.763542,-0.466001);
18:10:14.134, 	1, 	2, 	26.416, 	25.6538, 	1, 	4, 	3.04, 	(0.533098,-0.624416);
18:10:14.158, 	1, 	2, 	22.7249, 	24.2494, 	1, 	4, 	3.04, 	(-0.772227,0.0553692);
18:10:14.174, 	1, 	2, 	20.2416, 	20.6183, 	1, 	4, 	3.04, 	(-0.0735352,0.499441);
18:10:14.194, 	1, 	2, 	22.6564, 	24.8588, 	1, 	4, 	3.04, 	(-0.878846,-0.0934859);
18:10:14.214, 	1, 	2, 	28.9449, 	25.5488, 	1, 	4, 	3.04, 	(0.674811,0.0245895);
18:10:14.234, 	1, 	2, 	28.3545, 	26.314, 	1, 	4, 	3.04, 	(-0.107308,-0.534146);
18:10:14.255, 	1, 	2, 	30.2096, 	26.6026, 	1, 	4, 	3.04, 	(-0.367627,-0.827659);
