(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:13:43.579, 	1, 	2, 	17.6067, 	24.7407, 	1, 	68, 	1.216, 	(-0.115898,0.715464);
19:13:43.595, 	1, 	1, 	18.8776, 	12.2951, 	0, 	68, 	0.912, 	(1.24462,0.638792);(-1.73608,-0.0994561);(0.684661,-1.08052);(0.623857,1.00814);
19:13:43.615, 	1, 	1, 	18.2718, 	11.991, 	0, 	64, 	0.912, 	(-1.22563,-0.418689);(1.51785,0.0291845);(-0.901703,1.50194);(-0.880556,-1.28097);
19:13:43.655, 	0, 	1, 	18.7079, 	12.8241, 	0, 	64, 	0.912, 	(0.883606,-1.15202);(-0.463542,1.70115);(-1.09752,-1.04556);(1.26329,-0.502204);
19:13:43.675, 	1, 	1, 	19.4178, 	12.4955, 	0, 	60, 	0.608, 	(-1.02548,-0.365484);(1.10289,-0.187719);(-0.0361859,0.356507);(-0.244382,-0.19665);
19:13:43.700, 	1, 	2, 	18.2272, 	24.7797, 	1, 	56, 	0.608, 	(-0.385693,0.174904);
19:13:43.715, 	1, 	1, 	19.364, 	14.4059, 	0, 	52, 	0.608, 	(-0.993481,-0.843568);(1.73528,0.591824);(-1.23365,1.16975);(-0.472284,-1.40368);
19:13:43.735, 	1, 	1, 	19.4408, 	12.2286, 	0, 	48, 	0.608, 	(-0.996261,-0.663204);(1.3861,0.096896);(-0.245632,0.534455);(-0.289981,-0.46395);
19:13:43.761, 	1, 	2, 	20.1958, 	25.2008, 	1, 	44, 	0.912, 	(-0.352834,-0.368895);
19:13:43.776, 	1, 	1, 	19.5035, 	11.4169, 	0, 	40, 	0.912, 	(1.23067,0.252592);(-1.64137,0.363361);(0.459725,-1.79383);(1.21102,1.0516);
19:13:43.801, 	1, 	2, 	20.2744, 	25.6149, 	1, 	36, 	0.912, 	(0.288501,0.593983);
19:13:43.821, 	1, 	2, 	20.5069, 	25.5208, 	1, 	32, 	1.216, 	(-0.487488,0.342167);
19:13:43.836, 	1, 	1, 	20.3441, 	15.1928, 	0, 	28, 	1.216, 	(1.64127,0.853062);(-1.5278,0.593879);(0.57392,-0.992835);(0.687386,0.454106);
19:13:43.864, 	1, 	2, 	19.1248, 	25.4499, 	1, 	24, 	1.52, 	(-0.679923,0.308917);
19:13:43.881, 	1, 	2, 	17.8303, 	24.3163, 	1, 	20, 	1.824, 	(0.781928,0.0421096);
19:13:43.898, 	1, 	1, 	19.8895, 	13.2541, 	0, 	16, 	1.52, 	(1.02713,-0.978087);(-0.596358,1.76623);(-1.22607,-1.01938);(1.28098,-0.566037);
19:13:43.922, 	1, 	2, 	20.8697, 	25.6127, 	1, 	16, 	1.824, 	(0.458665,-0.18315);
19:13:43.942, 	1, 	2, 	20.7173, 	25.6349, 	1, 	12, 	2.128, 	(0.182995,0.342187);
19:13:43.956, 	1, 	1, 	21.713, 	14.073, 	0, 	12, 	1.824, 	(-0.349046,-1.36897);(1.26414,1.2856);(-1.57536,0.690472);(0.0243143,-1.5573);
19:13:43.982, 	1, 	2, 	19.8115, 	25.799, 	1, 	12, 	2.128, 	(0.798952,0.070458);
19:13:44.002, 	1, 	2, 	20.4568, 	24.4339, 	1, 	12, 	2.128, 	(-0.0937389,0.474775);
19:13:44.016, 	1, 	1, 	20.7673, 	15.539, 	0, 	12, 	1.824, 	(0.983017,0.89764);(-1.67849,-0.494721);(1.18434,-1.45183);(0.815607,1.42177);
19:13:44.044, 	0, 	2, 	-0.383843, 	1.53048, 	0, 	12, 	1.824, 	(0.00951993,-0.012447);
19:13:44.057, 	1, 	1, 	21.7532, 	19.1347, 	0, 	8, 	1.52, 	(-0.290101,-1.13262);(1.06417,0.812673);(-0.393314,0.325276);(-0.0871747,-0.475076);
19:13:44.077, 	1, 	1, 	21.7363, 	16.1742, 	0, 	8, 	1.216, 	(-1.07345,0.92883);(0.462549,-1.73865);(1.05609,0.711852);(-0.963408,0.62973);
19:13:44.108, 	1, 	2, 	21.545, 	25.94, 	1, 	8, 	1.52, 	(-0.474978,0.550601);
