(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:24:39.520, 	0, 	1, 	9.6765, 	9.78373, 	0, 	68, 	-7.10543e-17, 	(-0.058796,-0.00326516);(-0.147475,-0.00549363);(-0.0791398,0.0580492);(-0.0786946,-0.0574689);
19:24:39.580, 	0, 	1, 	9.7466, 	8.5013, 	0, 	72, 	-7.10543e-17, 	(-0.113736,-0.0401368);(-0.104014,0.0471334);(-0.0314731,-0.0239964);(-0.0979451,0.0728898);
19:24:39.661, 	0, 	1, 	8.55088, 	5.15286, 	0, 	72, 	-7.10543e-17, 	(0.0187633,-0.0385927);(-0.190997,-0.03445);(0.151435,0.0616666);(-0.0932601,0.15928);
19:24:39.721, 	1, 	1, 	15.1812, 	14.431, 	0, 	72, 	-7.10543e-17, 	(-0.0106327,0.101098);(0.234403,0.128993);(-0.0461564,-0.0264884);(0.0703034,-0.0714081);
19:24:39.742, 	0, 	2, 	16.5609, 	8.93346, 	0, 	72, 	-7.10543e-17, 	(0.0210896,0.0515591);
19:24:39.761, 	0, 	2, 	14.7227, 	9.0784, 	0, 	76, 	-7.10543e-17, 	(-0.0186588,-0.0139401);
19:24:39.781, 	0, 	1, 	9.24515, 	9.53614, 	0, 	76, 	-7.10543e-17, 	(0.0340214,0.239535);(0.120315,-0.0338912);(-0.0721238,0.266516);(-0.0842888,0.0683728);
19:24:39.822, 	0, 	1, 	12.5005, 	10.9539, 	0, 	76, 	-7.10543e-17, 	(-0.392469,0.0104898);(0.195512,0.0131211);(-0.300745,-0.101108);(0.30662,0.00131376);
19:24:39.842, 	1, 	1, 	16.4323, 	12.2204, 	0, 	80, 	-7.10543e-17, 	(-0.249359,-0.0543817);(-0.0318753,0.383904);(-0.316596,-0.359918);(0.179542,0.25776);
19:24:39.862, 	1, 	1, 	13.7926, 	13.5496, 	0, 	76, 	-7.10543e-17, 	(-0.186311,-0.103438);(0.230864,0.499568);(-0.0992218,-0.0365077);(0.208564,0.250124);
19:24:39.882, 	1, 	2, 	10.8134, 	12.6122, 	1, 	72, 	0.304, 	(0.0228956,0.06295);
19:24:39.903, 	0, 	2, 	12.3121, 	10.0557, 	1, 	72, 	0.304, 	(0.00317259,-0.00233992);
19:24:39.922, 	0, 	1, 	10.8462, 	9.76754, 	0, 	76, 	0.304, 	(0.437187,0.10699);(-0.463484,0.121863);(0.321437,0.154735);(-0.229208,0.0431941);
19:24:39.942, 	0, 	1, 	15.2571, 	13.2889, 	0, 	80, 	0.304, 	(-0.180061,0.0701109);(0.471808,0.182479);(-0.471808,-0.182479);(-0.180061,0.0701109);
19:24:39.963, 	1, 	1, 	18.3372, 	14.3696, 	0, 	76, 	0.304, 	(-0.0454682,0.51191);(0.556184,-0.118365);(-0.0897721,0.447903);(0.397228,-0.286631);
19:24:39.983, 	0, 	2, 	15.1457, 	7.32196, 	0, 	76, 	0.304, 	(-0.0447861,0.00799735);
19:24:40.003, 	1, 	1, 	9.64414, 	8.9053, 	0, 	72, 	0.304, 	(0.329121,0.25002);(-0.13916,-0.462178);(-0.00305682,0.251445);(-0.374143,-0.0715299);
19:24:40.022, 	1, 	1, 	14.183, 	11.6881, 	0, 	68, 	0.304, 	(0.106444,0.32476);(0.304656,-0.56);(-0.101804,0.458086);(-0.135066,-0.212681);
19:24:40.044, 	0, 	2, 	15.7936, 	13.2378, 	0, 	68, 	0.304, 	(-0.0585636,-0.0502376);
19:24:40.064, 	0, 	2, 	14.49, 	15.764, 	0, 	68, 	0.304, 	(-0.020056,-0.113187);
19:24:40.083, 	1, 	1, 	15.5273, 	13.6565, 	0, 	68, 	-7.10543e-17, 	(0.529809,0.0870449);(-0.0782556,-0.243343);(0.413301,0.0753377);(0.0363307,-0.127179);
19:24:40.103, 	1, 	1, 	15.8108, 	13.4124, 	0, 	64, 	-7.10543e-17, 	(0.474086,0.0490573);(-0.120311,-0.386321);(0.149967,-0.0162663);(-0.158732,-0.220934);
19:24:40.125, 	1, 	2, 	18.1629, 	16.0837, 	1, 	60, 	0.304, 	(-0.0838805,-0.0636626);
19:24:40.144, 	1, 	2, 	17.1033, 	17.5854, 	1, 	56, 	0.608, 	(0.0545202,0.113276);
19:24:40.164, 	1, 	2, 	12.6687, 	18.8752, 	1, 	52, 	0.912, 	(0.105476,-0.0497411);
19:24:40.185, 	1, 	2, 	10.4529, 	16.2944, 	1, 	48, 	1.216, 	(0.0225408,0.141529);
19:24:40.205, 	1, 	2, 	13.7061, 	20.735, 	1, 	44, 	1.52, 	(-0.199802,0.169172);
