slot,id,beam,CRC,SNR
0,101,17,1,28.0305
0,101,17,0,28.3151
0,101,17,1,29.0520
0,101,17,1,30.3601
0,101,17,1,28.4440
0,101,17,1,28.7541
0,101,17,1,29.0319
0,101,18,1,27.5642
0,101,18,0,28.8866
0,101,18,1,28.8235
0,101,18,1,28.4513
0,101,18,1,28.0501
0,101,18,1,28.4154
0,101,18,1,29.0858
0,101,18,1,29.0112
0,101,18,1,29.3685
0,101,18,1,28.7740
0,101,18,1,28.7070
0,101,18,1,28.5661
0,101,18,1,29.0453
0,101,18,1,27.9983
0,101,18,1,29.1593
0,101,18,1,29.0921
0,101,18,1,29.1095
0,101,18,1,30.7173
0,101,18,1,29.1949
0,101,18,1,29.4932
0,101,18,1,28.7788
0,101,18,1,28.5259
0,101,18,1,28.2669
0,101,18,1,28.5202
0,101,18,1,30.0181
0,101,18,1,29.3022
0,101,18,1,28.4533
0,101,18,1,29.2225
0,101,18,1,28.3474
0,101,18,1,28.9585
0,101,18,1,30.8572
0,101,18,1,28.9542
0,101,18,1,28.3457
0,101,18,1,28.5607
0,101,18,1,29.1288
0,101,18,1,28.0252
0,101,18,1,28.1816
0,101,18,1,27.9594
0,101,18,1,28.8972
0,101,18,1,29.0043
0,101,18,1,28.7574
0,101,18,1,29.6452
0,101,18,1,28.1284
0,101,18,0,29.8303
0,101,18,1,28.7209
0,101,18,1,28.0621
0,101,18,1,29.4342
0,101,18,1,28.9968
0,101,18,1,28.7629
0,101,18,1,28.4639
0,101,19,0,29.0990
0,101,19,1,27.5443
0,101,19,1,28.4251
0,101,19,1,28.9163
0,101,19,1,29.1441
0,101,19,1,29.0172
0,101,19,1,28.0272
0,101,19,1,27.6746
0,101,19,1,29.3289
0,101,19,1,28.2501
0,101,19,1,29.7072
0,101,19,1,28.0109
0,101,19,1,29.0379
0,101,19,1,28.7456
0,101,19,1,29.1541
0,101,19,1,29.4548
0,101,19,1,29.5652
0,101,19,1,29.8943
0,101,19,1,29.0879
0,101,19,1,29.1867
0,101,19,1,28.9285
0,101,19,1,29.3293
0,101,19,1,29.7036
0,101,19,1,30.2639
0,101,19,1,28.9271
0,101,19,1,28.4320
0,101,19,1,29.3477
0,101,19,1,28.9354
0,101,19,1,29.6633
0,101,19,1,28.7583
0,101,19,1,29.3769
0,101,19,1,29.4596
0,101,19,1,28.7807
0,101,19,1,28.3464
0,101,19,1,27.8926
0,101,19,1,28.1653
0,101,19,1,29.1732
0,101,19,1,28.3037
0,101,19,1,29.7624
0,101,19,1,28.8074
0,101,19,1,29.6592
0,101,19,1,29.9831
0,101,19,1,28.3394
0,101,19,1,29.2781
0,101,19,1,29.7599
0,101,19,1,30.3470
0,101,19,1,28.6939
0,101,19,1,28.6938
0,101,19,1,29.2414
0,101,19,1,29.3729
0,101,20,1,30.1652
0,101,20,1,29.6049
0,101,20,1,28.2515
0,101,20,1,29.3329
0,101,20,1,29.4609
0,101,20,1,29.7185
0,101,20,1,28.4338
0,101,20,1,29.2432
0,101,20,1,29.0114
0,101,20,1,28.6434
0,101,20,1,28.1567
0,101,20,1,28.6192
0,101,20,1,28.9801
0,101,20,1,29.0264
0,101,20,1,28.7742
0,101,20,1,28.3759
0,101,20,1,29.0700
0,101,20,1,28.2366
0,101,20,1,29.0329
0,101,20,1,28.5557
0,101,20,1,29.7078
0,101,20,0,28.1496
0,101,20,1,29.2873
0,101,20,1,28.3438
0,101,20,1,28.7380
0,101,20,1,28.7954
0,101,20,1,28.3889
0,101,20,1,30.5507
0,101,20,0,28.9579
0,101,20,1,29.6619
0,101,20,1,29.6233
0,101,20,1,29.2757
0,101,20,1,28.9979
0,101,20,1,27.9544
0,101,20,1,28.1063
0,101,20,1,29.8039
0,101,20,1,28.6585
0,101,20,1,29.4402
0,101,20,1,29.6886
0,101,20,1,28.7940
0,101,20,1,29.5463
0,101,20,1,29.3002
0,101,20,1,28.8386
0,101,20,1,28.5176
0,101,20,1,28.6592
0,101,20,1,28.9475
0,101,20,1,28.9253
0,101,20,1,29.4770
0,101,20,1,27.8217
0,101,20,1,29.4052
0,101,21,1,29.0332
0,101,21,1,27.7962
0,101,21,1,30.8314
0,101,21,1,28.4981
0,101,21,1,27.8890
0,101,21,1,28.9040
0,101,21,1,29.5507
0,101,21,1,27.8754
0,101,21,1,29.3415
0,101,21,1,28.6751
0,101,21,1,29.6341
0,101,21,1,29.1808
0,101,21,1,28.1574
0,101,21,1,30.2364
0,101,21,1,29.0289
0,101,21,1,28.9131
0,101,21,1,29.4604
0,101,21,1,29.0787
0,101,21,1,26.9446
0,101,21,1,30.2654
0,101,21,0,29.4934
0,101,21,1,28.2439
0,101,21,1,28.9394
0,101,21,1,28.1043
0,101,21,1,29.6373
0,101,21,1,29.9900
0,101,21,1,28.8529
0,101,21,0,28.8252
0,101,21,1,28.3833
0,101,21,1,29.3053
0,101,21,1,30.1339
0,101,21,1,27.9430
0,101,21,1,29.5864
0,101,21,1,27.5900
0,101,21,1,28.4411
0,101,21,1,29.3231
0,101,21,1,28.3088
0,101,21,1,29.6986
0,101,21,1,29.6685
0,101,21,1,30.1999
0,101,21,1,29.4391
0,101,21,1,29.1830
0,101,21,1,28.4490
0,101,21,1,28.9258
0,101,21,1,30.1504
0,101,21,1,28.0215
0,101,21,1,29.2361
0,101,21,1,28.3496
0,101,21,1,29.3467
0,101,21,1,29.1527
0,101,22,1,32.0360
0,101,22,1,31.6775
0,101,22,1,32.6399
0,101,22,1,31.6914
0,101,22,1,31.9205
0,101,22,1,32.8430
0,101,22,1,32.7526
0,101,22,1,32.1396
0,101,22,1,32.4631
0,101,22,1,33.3465
0,101,22,1,34.3126
0,101,22,1,32.0386
0,101,22,1,31.3230
0,101,22,1,32.7678
0,101,22,1,32.0700
0,101,22,1,32.6977
0,101,22,1,32.4519
0,101,22,1,32.3234
0,101,22,1,31.4955
0,101,22,1,31.2362
