(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:57:21.741, 	0, 	1, 	16.201, 	9.00885, 	0, 	48, 	0.912, 	(-0.00494637,0.945675);(0.151432,-1.50259);(1.13824,1.35682);(-1.60952,0.0147901);
18:57:21.784, 	0, 	1, 	15.052, 	7.60044, 	0, 	52, 	0.608, 	(-1.19928,0.287426);(1.6976,-0.504328);(-0.610931,1.26091);(-0.499561,-1.17875);
18:57:21.844, 	0, 	1, 	16.1072, 	9.91028, 	0, 	56, 	0.608, 	(1.23113,-0.313242);(-1.60372,0.49526);(0.648741,-1.43747);(0.568012,1.26534);
18:57:21.902, 	0, 	1, 	17.3303, 	10.0028, 	0, 	60, 	0.304, 	(1.25647,0.463255);(-1.63705,-0.319523);(0.968486,-0.813489);(-0.0382798,1.12471);
18:57:21.962, 	0, 	1, 	14.1589, 	8.75022, 	0, 	64, 	0.304, 	(-0.915142,-0.382311);(1.09877,0.415605);(-1.58413,0.784405);(0.272815,-1.53839);
18:57:22.022, 	0, 	1, 	16.1138, 	8.60367, 	0, 	64, 	-7.10543e-17, 	(-0.0522468,1.27985);(-0.0833512,-1.68321);(1.2824,0.904732);(-1.37963,0.45704);
18:57:22.083, 	0, 	1, 	16.1994, 	9.81758, 	0, 	68, 	-7.10543e-17, 	(0.461634,-0.89189);(-0.656508,1.61887);(-0.796477,-1.37724);(1.5286,0.057512);
18:57:22.127, 	0, 	1, 	16.9835, 	10.0082, 	0, 	68, 	-7.10543e-17, 	(-1.06952,-0.686717);(1.3489,0.629397);(-1.51804,0.806961);(0.109572,-1.49829);
18:57:22.144, 	0, 	1, 	15.9506, 	10.7878, 	0, 	68, 	-7.10543e-17, 	(-1.16613,-0.624919);(1.56146,0.422209);(-0.789583,0.709525);(-0.134114,-0.958554);
18:57:22.175, 	0, 	1, 	0.0832451, 	0.801827, 	0, 	72, 	-7.10543e-17, 	(-0.0396511,-0.0521258);(0.107131,0.0274315);(0.0413209,-0.0908191);(0.00441989,0.00288593);
18:57:22.188, 	0, 	1, 	16.6283, 	7.72041, 	0, 	76, 	-7.10543e-17, 	(1.13179,0.539653);(-1.35909,-0.46795);(1.47114,-1.02426);(0.0608134,1.4784);
18:57:22.204, 	0, 	1, 	16.6082, 	9.61056, 	0, 	80, 	-7.10543e-17, 	(-0.462132,-1.28526);(0.927791,1.45689);(-1.38131,0.00912482);(0.672887,-0.993933);
18:57:22.248, 	0, 	1, 	16.5981, 	12.0452, 	0, 	80, 	-7.10543e-17, 	(1.35006,-0.434866);(-1.43129,0.824702);(0.0117947,-1.45804);(1.00132,0.72864);
18:57:22.264, 	0, 	1, 	16.115, 	9.48093, 	0, 	84, 	-7.10543e-17, 	(-0.690559,1.14495);(0.563197,-1.60152);(1.00061,1.18171);(-1.35403,0.114211);
18:57:22.304, 	0, 	1, 	15.961, 	14.1659, 	0, 	84, 	-7.10543e-17, 	(1.06618,0.233634);(-1.58841,-0.0284759);(0.890874,-1.40897);(0.647143,1.43226);
18:57:22.324, 	1, 	1, 	18.0354, 	11.9802, 	0, 	84, 	-7.10543e-17, 	(-1.24107,-0.387827);(1.5781,-0.03387);(-0.391832,0.80146);(-0.374574,-0.766882);
18:57:22.364, 	0, 	1, 	16.4281, 	9.09324, 	0, 	84, 	-7.10543e-17, 	(0.881983,-0.6119);(-0.602866,1.00033);(-0.278408,-0.325024);(0.424117,0.00483474);
18:57:22.385, 	1, 	1, 	16.8302, 	10.4063, 	0, 	84, 	-7.10543e-17, 	(0.89092,0.72158);(-1.3344,-0.67569);(1.37165,-0.878415);(0.0634381,1.63103);
18:57:22.408, 	0, 	1, 	0.0350707, 	1.38792, 	0, 	84, 	-7.10543e-17, 	(0.091838,0.0800493);(0.283498,0.0870847);(-0.314802,0.00770707);(0.0720944,-0.0230763);
18:57:22.425, 	0, 	1, 	18.2535, 	12.9686, 	0, 	84, 	-7.10543e-17, 	(-0.896584,0.840598);(0.537069,-1.31378);(0.412738,0.444501);(-0.630999,0.11134);
18:57:22.466, 	1, 	2, 	17.7728, 	24.9428, 	1, 	84, 	0.304, 	(0.205089,-0.559321);
18:57:22.485, 	1, 	1, 	16.1415, 	12.5637, 	0, 	80, 	0.304, 	(-1.18479,-0.14983);(1.66447,-0.361331);(-0.534671,1.46724);(-1.02784,-1.04232);
18:57:22.506, 	1, 	2, 	18.6538, 	25.4578, 	1, 	76, 	0.608, 	(0.296325,-0.638888);
18:57:22.526, 	1, 	2, 	18.4453, 	24.4783, 	1, 	72, 	0.912, 	(-0.243484,0.604283);
18:57:22.545, 	1, 	1, 	17.7812, 	13.1497, 	0, 	72, 	0.912, 	(1.0672,0.924387);(-1.53672,-0.47197);(0.760488,-0.789944);(0.345596,0.957259);
18:57:22.568, 	1, 	2, 	17.5601, 	25.0493, 	1, 	68, 	1.216, 	(-0.647959,-0.324752);
18:57:22.587, 	1, 	2, 	19.409, 	24.8056, 	1, 	64, 	1.52, 	(0.116319,0.39785);
18:57:22.606, 	1, 	1, 	18.7993, 	12.3424, 	0, 	60, 	1.52, 	(0.676438,-0.808242);(-0.199296,1.15785);(-0.312462,-0.189249);(0.332344,-0.124864);
18:57:22.627, 	1, 	2, 	18.1044, 	25.1846, 	1, 	56, 	1.824, 	(-0.382109,-0.438476);
18:57:22.646, 	1, 	1, 	19.9683, 	11.235, 	0, 	52, 	1.824, 	(0.0336454,1.34644);(-0.703727,-1.31249);(0.934376,-0.100507);(-0.316026,0.733576);
18:57:22.666, 	1, 	1, 	19.93, 	16.7337, 	0, 	48, 	1.52, 	(-0.437661,1.29093);(-0.198654,-1.75827);(1.48612,0.529085);(-1.01977,0.942748);
18:57:22.688, 	1, 	2, 	16.9024, 	23.8003, 	1, 	44, 	1.824, 	(-0.715002,-0.234946);
18:57:22.706, 	1, 	1, 	18.7689, 	14.6033, 	0, 	40, 	1.52, 	(1.1067,0.886208);(-1.64568,-0.300693);(0.620796,-0.975682);(0.493018,0.909801);
18:57:22.726, 	1, 	1, 	19.352, 	13.7053, 	0, 	36, 	1.216, 	(-1.16173,0.700325);(0.763173,-1.35112);(0.599695,0.68508);(-0.820186,0.161449);
18:57:22.748, 	1, 	2, 	19.37, 	25.4797, 	1, 	32, 	1.52, 	(0.301938,0.281683);
18:57:22.767, 	1, 	1, 	19.778, 	12.4003, 	0, 	28, 	1.216, 	(-1.04668,0.939384);(0.627565,-1.71123);(1.02935,0.93185);(-1.16487,0.452539);
18:57:22.787, 	1, 	1, 	19.5653, 	14.2766, 	0, 	24, 	0.912, 	(1.20216,0.105356);(-1.57608,0.438088);(0.230173,-1.88028);(1.36926,0.870876);
18:57:22.808, 	1, 	2, 	19.1945, 	25.7631, 	1, 	20, 	1.216, 	(0.472801,-0.607548);
18:57:22.827, 	1, 	1, 	20.5842, 	16.3829, 	0, 	16, 	0.912, 	(-1.15678,-0.749978);(1.26849,-0.108938);(-0.338304,0.508304);(-0.226598,-0.350612);
18:57:22.847, 	1, 	1, 	21.1115, 	13.4301, 	0, 	12, 	0.912, 	(-1.41161,0.260908);(1.34898,-1.2248);(0.532698,1.29963);(-1.26728,-0.106985);
18:57:22.869, 	1, 	2, 	21.7722, 	25.724, 	1, 	12, 	1.216, 	(-0.587758,-0.0391937);
18:57:22.888, 	1, 	1, 	22.164, 	17.5144, 	0, 	8, 	0.912, 	(1.07147,0.868371);(-1.59803,-0.107763);(0.31619,-0.835264);(0.558089,0.622177);
18:57:22.907, 	1, 	1, 	20.3076, 	11.9082, 	0, 	8, 	0.912, 	(0.62979,1.29798);(-1.61879,-1.00115);(1.25498,-0.939205);(0.343844,1.38409);
18:57:22.929, 	1, 	2, 	20.1184, 	25.0999, 	1, 	4, 	1.216, 	(-0.648901,0.146976);
18:57:22.948, 	1, 	1, 	19.4033, 	10.8674, 	0, 	-1.249e-14, 	0.912, 	(0.853257,-1.05358);(-0.487872,1.49818);(-1.50666,-1.21821);(1.40871,-0.831067);
18:57:22.970, 	1, 	2, 	20.5854, 	25.6725, 	1, 	-1.249e-14, 	1.216, 	(0.446037,-0.153427);
18:57:22.990, 	1, 	2, 	21.0843, 	25.3076, 	1, 	-1.249e-14, 	1.52, 	(0.0385982,0.704884);
18:57:23.008, 	1, 	1, 	23.7007, 	15.7823, 	0, 	-1.249e-14, 	1.216, 	(0.928163,-1.08893);(-0.169332,1.90444);(-1.21313,-0.588906);(0.921798,-0.817525);
18:57:23.030, 	1, 	2, 	23.1313, 	20.0253, 	1, 	-1.249e-14, 	1.52, 	(0.343547,-0.147009);
18:57:23.050, 	1, 	2, 	22.5563, 	26.1252, 	1, 	-1.249e-14, 	1.824, 	(-0.214427,0.744487);
18:57:23.069, 	1, 	1, 	21.575, 	15.5279, 	0, 	-1.249e-14, 	1.52, 	(0.770798,1.3138);(-1.61099,-0.863666);(1.25832,-1.14172);(0.55258,1.35468);
18:57:23.091, 	1, 	2, 	20.7903, 	24.6964, 	1, 	-1.249e-14, 	1.824, 	(0.0699373,0.635892);
18:57:23.111, 	1, 	2, 	21.0921, 	25.7593, 	1, 	-1.249e-14, 	2.128, 	(-0.095803,0.801511);
