(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:07:24.438, 	1, 	2, 	20.0327, 	19.3745, 	1, 	12, 	1.52, 	(0.0966896,0.0620184);
17:07:24.458, 	1, 	2, 	17.6597, 	19.0116, 	1, 	12, 	1.52, 	(0.135151,-0.0843419);
17:07:24.478, 	1, 	2, 	19.3094, 	19.2951, 	1, 	12, 	1.824, 	(-0.0446841,-0.164767);
17:07:24.498, 	1, 	2, 	18.5648, 	18.9925, 	1, 	12, 	2.128, 	(0.0940949,-0.0523363);
17:07:24.519, 	0, 	2, 	16.9312, 	19.3667, 	1, 	12, 	2.128, 	(0.0879072,-0.143477);
17:07:24.538, 	0, 	1, 	18.3205, 	13.2024, 	0, 	16, 	2.128, 	(0.0400873,-0.180421);(0.131654,0.299394);(0.0121501,0.470821);(0.183892,0.589793);
17:07:24.558, 	1, 	1, 	15.9321, 	14.6328, 	0, 	20, 	2.128, 	(0.065663,0.261347);(-0.356554,0.131778);(-0.456596,0.0196387);(-0.463783,-0.181566);
17:07:24.581, 	0, 	2, 	14.6467, 	5.19244, 	0, 	20, 	2.128, 	(0.0384224,-0.0513369);
17:07:24.599, 	0, 	2, 	14.3959, 	13.7008, 	0, 	24, 	1.824, 	(-0.0837244,0.00934263);
17:07:24.618, 	1, 	1, 	12.9563, 	12.5504, 	0, 	28, 	1.216, 	(-0.0740725,0.0127158);(-0.0740725,0.0127158);(0.0740725,-0.0127158);(-0.0740725,0.0127158);
17:07:24.641, 	0, 	1, 	12.6799, 	-1.39563, 	0, 	28, 	1.216, 	(-0.182395,-0.103451);(0.084026,-0.118009);(0.165756,-0.0808714);(0.170256,0.0495887);
17:07:24.659, 	0, 	2, 	12.318, 	11.7917, 	0, 	32, 	0.912, 	(0.0472706,-0.0472283);
17:07:24.679, 	0, 	1, 	12.2109, 	11.4162, 	0, 	36, 	0.608, 	(-0.15327,-0.0295234);(-0.116591,-0.170762);(-0.0137702,-0.272883);(0.0421672,-0.27658);
17:07:24.699, 	0, 	1, 	12.2335, 	11.7156, 	0, 	40, 	0.304, 	(0.114205,0.115253);(-0.0209329,0.217614);(-0.233004,0.198847);(-0.18129,0.171057);
17:07:24.719, 	1, 	1, 	16.2916, 	14.3869, 	0, 	44, 	-7.10543e-17, 	(0.168569,-0.093877);(0.165271,0.114269);(0.0470912,0.0658592);(-0.00926277,0.0913259);
17:07:24.739, 	1, 	1, 	15.9827, 	12.7984, 	0, 	40, 	-7.10543e-17, 	(-0.280286,-0.00627118);(-0.136663,-0.280291);(0.00927061,-0.153951);(0.100682,-0.189244);
17:07:24.761, 	0, 	2, 	15.8153, 	13.7496, 	0, 	40, 	-7.10543e-17, 	(0.016032,-0.0893328);
17:07:24.780, 	0, 	2, 	15.6396, 	12.6596, 	0, 	44, 	-7.10543e-17, 	(-0.0270101,0.0290701);
17:07:24.801, 	0, 	1, 	11.0416, 	-0.975869, 	0, 	48, 	-7.10543e-17, 	(0.0344569,0.0592669);(0.00595713,0.156639);(-0.256361,0.243277);(-0.183817,0.278023);
17:07:24.822, 	0, 	1, 	9.64401, 	-1.37289, 	0, 	48, 	-7.10543e-17, 	(0.0825878,-0.0623534);(0.0798123,-0.0807963);(0.127989,0.0155755);(-0.0154006,-0.0422263);
17:07:24.842, 	0, 	1, 	8.03666, 	-1.89442, 	0, 	48, 	-7.10543e-17, 	(0.0580728,-0.0194128);(0.124869,-0.0225309);(0.0354809,0.0259447);(0.0899436,-0.0324812);
17:07:24.880, 	0, 	1, 	9.79763, 	9.43741, 	0, 	52, 	-7.10543e-17, 	(-0.0451318,-0.0713149);(0.0533077,-0.10661);(0.00470049,-0.0351281);(0.0925295,-0.0927942);
17:07:24.900, 	0, 	1, 	11.4773, 	8.25179, 	0, 	56, 	-7.10543e-17, 	(-0.0442134,-0.158483);(0.0288048,-0.112484);(0.0948405,-0.0422474);(0.0536782,-0.00371135);
17:07:24.920, 	0, 	1, 	8.37059, 	9.01689, 	0, 	60, 	-7.10543e-17, 	(-0.0418292,0.0429857);(-0.151418,-0.123244);(-0.0288001,-0.134741);(-0.0339862,-0.128325);
17:07:24.941, 	0, 	1, 	7.6208, 	-0.918812, 	0, 	64, 	-7.10543e-17, 	(-0.122691,-0.0453011);(0.11252,-0.09258);(0.0840962,-0.103629);(0.143292,-0.0986652);
17:07:24.960, 	0, 	1, 	8.1649, 	7.2477, 	0, 	68, 	-7.10543e-17, 	(-0.0715073,-0.0203996);(-0.0861481,-0.12196);(-0.00453562,-0.0370204);(0.00042142,-0.145878);
17:07:24.980, 	1, 	1, 	11.4953, 	12.1806, 	0, 	72, 	-7.10543e-17, 	(0.0307546,-0.0609696);(0.0996007,-0.0821636);(0.0530103,0.023213);(0.0463805,0.0380107);
17:07:25.000, 	0, 	1, 	10.4898, 	8.21539, 	0, 	72, 	-7.10543e-17, 	(0.00961716,0.0697704);(-0.172652,-0.114162);(-0.0915372,0.0686582);(-0.162564,-0.108402);
17:07:25.022, 	0, 	2, 	11.4128, 	11.503, 	0, 	76, 	-7.10543e-17, 	(-0.0159319,0.0700709);
17:07:25.040, 	0, 	1, 	10.2156, 	11.2901, 	0, 	80, 	-7.10543e-17, 	(0.0970975,0.0278368);(0.115881,-0.174197);(0.157964,0.0339774);(0.141712,-0.0664662);
17:07:25.061, 	1, 	1, 	11.3232, 	7.42623, 	0, 	76, 	-7.10543e-17, 	(0.0784096,-0.0551416);(0.0878268,-0.147912);(0.0808602,0.0227395);(0.0180001,-0.0453943);
17:07:25.083, 	0, 	2, 	8.90715, 	9.19848, 	0, 	76, 	-7.10543e-17, 	(0.0154967,-0.0182856);
17:07:25.103, 	0, 	2, 	10.6165, 	7.12551, 	0, 	80, 	-7.10543e-17, 	(-0.00705057,-0.0471235);
17:07:25.121, 	0, 	1, 	7.77126, 	11.5833, 	0, 	80, 	-7.10543e-17, 	(0.0633241,0.00957817);(0.118619,0.0426338);(0.019505,-0.0554922);(0.00399528,-0.0013574);
17:07:25.141, 	0, 	1, 	9.92406, 	10.845, 	0, 	80, 	-7.10543e-17, 	(0.0329752,-0.0729297);(-0.147357,-0.105629);(0.172436,0.17048);(-0.0944194,0.148478);
17:07:25.161, 	0, 	1, 	11.8928, 	9.31667, 	0, 	84, 	-7.10543e-17, 	(-0.00248103,-0.0384188);(-0.203749,0.222959);(0.0507862,-0.0671555);(-0.0588519,0.10661);
17:07:25.224, 	0, 	2, 	10.4879, 	-1.64531, 	0, 	84, 	-7.10543e-17, 	(-0.0699731,0.000976076);
17:07:25.242, 	0, 	1, 	9.8899, 	9.38844, 	0, 	84, 	-7.10543e-17, 	(-0.0792385,-0.175884);(-0.0977466,0.0761815);(0.0201322,-0.188395);(-0.0045713,0.0514704);
17:07:25.285, 	0, 	1, 	11.4745, 	-1.34081, 	0, 	84, 	-7.10543e-17, 	(-0.216233,-0.106245);(-0.00210151,0.0253998);(-0.0311625,-0.00292541);(-0.00133279,0.0294921);
17:07:25.302, 	1, 	1, 	15.7274, 	14.1115, 	0, 	84, 	-7.10543e-17, 	(-0.117103,-0.172277);(-0.356714,0.257692);(0.00140534,-0.121517);(-0.0764303,0.148239);
17:07:25.324, 	0, 	2, 	8.93753, 	11.0751, 	0, 	84, 	-7.10543e-17, 	(0.0251337,-0.070412);
17:07:25.347, 	0, 	2, 	7.65986, 	11.0751, 	0, 	88, 	-7.10543e-17, 	(0.0251337,-0.070412);
17:07:25.362, 	1, 	1, 	10.6544, 	6.67131, 	0, 	84, 	-7.10543e-17, 	(-0.0451758,-0.0995844);(-0.0496154,-0.0705227);(0.166889,0.160119);(-0.161754,-0.0495297);
17:07:25.382, 	1, 	1, 	16.4604, 	9.77169, 	0, 	80, 	-7.10543e-17, 	(0.310465,-0.516899);(-0.303979,0.0468066);(0.529772,-0.358994);(-0.28451,0.192688);
