 NEW RECORD - 08-21-2023 18:30:49, 	peak_power,	 snr_est,	 range,	 angle
18:31:03.292, 	394.61, 	26.6771, 	76.4994, 	61.9835
18:31:03.292, 	394.61, 	26.6771, 	76.4994, 	61.9835
18:31:03.392, 	230.053, 	27.0715, 	76.4994, 	58.382
18:31:03.392, 	230.053, 	27.0715, 	76.4994, 	58.382
18:31:03.392, 	230.053, 	27.0715, 	76.4994, 	58.382
18:31:03.492, 	207.734, 	23.906, 	76.8, 	55.1161
18:31:03.492, 	207.734, 	23.906, 	76.8, 	55.1161
18:31:03.492, 	207.734, 	23.906, 	76.8, 	55.1161
18:31:03.592, 	257.957, 	26.2538, 	0, 	56.7136
18:31:03.592, 	257.957, 	26.2538, 	0.0, 	56.7136
18:31:03.592, 	257.957, 	26.2538, 	0.0, 	56.7136
18:31:03.692, 	116.118, 	21.8119, 	0.150294, 	60.1334
18:31:03.692, 	116.118, 	21.8119, 	0.150294, 	60.1334
18:31:03.692, 	116.118, 	21.8119, 	0.150294, 	60.1334
18:31:03.692, 	116.118, 	21.8119, 	0.150294, 	60.1334
18:31:03.692, 	116.118, 	21.8119, 	0.150294, 	60.1334
