1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	12.3506, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	12.3506, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	12.3506, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	12.3506, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	12.3506, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	22.6545, 	1, 	1.216
2, 	-68.3862, 	-68.3862, 	23.8354, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8354, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8354, 	1, 	1.52
