19:10:16.658, 	140.62, 	23.8645, 	3.15616, 	-61.9835
19:10:16.758, 	157.957, 	23.693, 	3.15616, 	-60.1334
19:10:16.858, 	277.043, 	25.3994, 	3.15616, 	-60.1334
19:10:16.959, 	230.36, 	26.6602, 	3.15616, 	-60.1334
19:10:17.059, 	106.182, 	19.9554, 	3.15616, 	-60.1334
19:10:17.159, 	50.0851, 	18.8618, 	3.30646, 	-56.7136
19:10:17.259, 	119.988, 	21.888, 	3.15616, 	-60.1334
19:10:17.359, 	114.8, 	21.8336, 	3.30646, 	-60.1334
19:10:17.459, 	123.12, 	23.2215, 	3.30646, 	-58.382
19:10:17.559, 	46.8061, 	18.8376, 	3.30646, 	-56.7136
19:10:17.659, 	51.217, 	18.5267, 	3.45675, 	-58.382
19:10:17.759, 	114.07, 	22.9799, 	3.45675, 	-56.7136
19:10:17.859, 	174.606, 	23.1708, 	3.15616, 	-56.7136
19:10:17.960, 	212.461, 	26.3202, 	3.45675, 	-58.382
19:10:18.060, 	178.69, 	22.9406, 	3.30646, 	-58.382
19:10:18.160, 	224.353, 	27.0429, 	3.30646, 	-56.7136
19:10:18.260, 	373.482, 	25.6706, 	3.15616, 	-56.7136
19:10:18.360, 	217.138, 	24.8304, 	3.30646, 	-56.7136
19:10:18.460, 	161.872, 	22.7202, 	3.30646, 	-56.7136
19:10:18.560, 	326.503, 	25.4272, 	3.30646, 	-55.1161
19:10:18.626, 	256.889, 	26.5211, 	3.15616, 	-55.1161
19:10:18.726, 	209.034, 	24.1513, 	3.15616, 	-53.5801
19:10:18.826, 	268.885, 	26.9671, 	3.30646, 	-53.5801
19:10:18.877, 	513.339, 	28.7679, 	3.30646, 	-53.5801
19:10:18.927, 	415.269, 	28.2935, 	3.30646, 	-52.098
19:10:18.977, 	331.21, 	26.3862, 	3.30646, 	-50.6636
19:10:19.027, 	819.263, 	29.8453, 	3.30646, 	-52.098
19:10:19.077, 	586.217, 	29.0707, 	3.30646, 	-52.098
19:10:19.127, 	451.753, 	27.9958, 	3.30646, 	-52.098
19:10:19.227, 	709.564, 	28.6379, 	3.30646, 	-52.098
19:10:19.277, 	478.899, 	28.2114, 	3.30646, 	-50.6636
19:10:19.328, 	1488.45, 	34.7551, 	3.30646, 	-52.098
19:10:19.378, 	677.683, 	28.7345, 	3.30646, 	-52.098
19:10:19.428, 	1125.68, 	32.9605, 	3.30646, 	-52.098
19:10:19.478, 	1008.69, 	33.8919, 	3.30646, 	-52.098
19:10:19.528, 	868.972, 	31.5852, 	3.30646, 	-52.098
19:10:19.578, 	567.911, 	28.6692, 	3.30646, 	-52.098
19:10:19.627, 	516.64, 	31.6042, 	3.30646, 	-52.098
19:10:19.678, 	307.114, 	28.196, 	3.30646, 	-50.6636
19:10:19.728, 	1184.93, 	32.2886, 	3.30646, 	-52.098
19:10:19.861, 	183.253, 	24.0057, 	3.30646, 	-52.098
19:10:19.961, 	1870.41, 	32.1916, 	3.30646, 	-50.6636
19:10:20.062, 	961.864, 	30.5835, 	3.30646, 	-52.098
19:10:20.162, 	1354.55, 	33.8958, 	3.30646, 	-52.098
